instrument,sector,Year,q,ESGscore,Firm_Size,Leverage
A,Manufacturing,2003,2.0664,28.49,8.748,0.4072
A,Manufacturing,2004,1.8926,52.43,8.862,0.3222
A,Manufacturing,2005,2.385,62.45,8.817,0.0
A,Manufacturing,2006,2.1746,69.63,8.905,0.4112
A,Manufacturing,2007,2.0812,69.63,8.93,0.6453
A,Manufacturing,2008,1.33,78.14,8.914,0.8304
A,Manufacturing,2009,1.5065,72.79,8.937,1.1588
A,Manufacturing,2010,1.623,75.0,9.179,1.1434
A,Manufacturing,2011,1.659,78.09,9.111,0.5072
A,Manufacturing,2012,1.4077,77.18,9.263,0.4558
A,Manufacturing,2013,1.831,76.94,9.277,0.5106
A,Manufacturing,2014,1.9646,82.98,9.29,0.5213
A,Manufacturing,2015,1.8975,78.09,8.92,0.3972
A,Manufacturing,2016,2.0514,88.48,8.962,0.4506
A,Manufacturing,2017,2.8382,87.65,9.039,0.4163
A,Manufacturing,2018,2.6207,89.3,9.053,0.3939
A,Manufacturing,2019,2.7316,87.89,9.154,0.507
A,Manufacturing,2020,3.5106,86.64,9.172,0.5206
A,Manufacturing,2021,4.718,87.75,9.278,0.5402
A,Manufacturing,2022,4.1559,87.75,9.262,0.5506
A,Manufacturing,2023,3.075,81.87,9.284,0.496
AAPL,Manufacturing,2005,3.8755,51.75,9.355,0.0
AAPL,Manufacturing,2006,3.8267,44.98,9.753,0.0
AAPL,Manufacturing,2007,5.2817,37.28,10.14,0.0
AAPL,Manufacturing,2008,2.5515,52.82,10.586,0.0
AAPL,Manufacturing,2009,3.5111,61.93,10.769,0.0
AAPL,Manufacturing,2010,3.457,59.89,11.228,0.0
AAPL,Manufacturing,2011,3.045,52.64,11.665,0.0
AAPL,Manufacturing,2012,3.5587,56.55,12.079,0.0
AAPL,Manufacturing,2013,2.1529,60.3,12.24,0.1373
AAPL,Manufacturing,2014,2.7015,56.17,12.354,0.3164
AAPL,Manufacturing,2015,2.3403,54.21,12.579,0.5401
AAPL,Manufacturing,2016,2.1458,61.56,12.681,0.6786
AAPL,Manufacturing,2017,2.4132,68.11,12.836,0.863
AAPL,Manufacturing,2018,3.248,70.74,12.81,1.0685
AAPL,Manufacturing,2019,3.2589,68.99,12.732,1.194
AAPL,Manufacturing,2020,6.4478,75.61,12.688,1.8714
AAPL,Manufacturing,2021,7.0111,82.25,12.769,2.1639
AAPL,Manufacturing,2022,6.6218,77.76,12.774,2.6145
AAPL,Manufacturing,2023,7.9024,77.76,12.773,1.9942
ABBV,Manufacturing,2013,3.3753,45.17,10.282,3.2776
ABBV,Manufacturing,2014,4.3254,61.33,10.224,8.6171
ABBV,Manufacturing,2015,2.3947,67.86,10.879,8.0281
ABBV,Manufacturing,2016,2.0661,75.12,11.099,7.9469
ABBV,Manufacturing,2017,2.7031,79.91,11.167,7.3314
ABBV,Manufacturing,2020,1.8344,80.64,11.922,6.6582
ABBV,Manufacturing,2021,2.1634,80.25,11.895,5.0347
ABBV,Manufacturing,2022,2.5223,80.25,11.841,3.7204
ABBV,Manufacturing,2023,2.479,72.93,11.811,5.8191
ABNB,Information,2020,8.6062,25.77,9.258,0.8029
ABNB,Information,2021,7.8706,30.72,9.526,0.5064
ABNB,Information,2022,3.5098,30.72,9.683,0.421
ABNB,Information,2023,4.3188,37.33,9.935,0.2822
ABT,Manufacturing,2002,2.842,39.86,10.097,0.6022
ABT,Manufacturing,2003,2.9532,40.67,10.193,0.4582
ABT,Manufacturing,2004,2.7655,27.36,10.267,0.4733
ABT,Manufacturing,2005,2.3103,66.87,10.28,0.4602
ABT,Manufacturing,2006,2.4128,52.78,10.496,0.8831
ABT,Manufacturing,2007,2.4989,64.65,10.589,0.687
ABT,Manufacturing,2008,2.2446,73.45,10.655,0.7072
ABT,Manufacturing,2009,1.9124,77.17,10.867,0.7216
ABT,Manufacturing,2010,1.5646,81.81,10.993,0.845
ABT,Manufacturing,2011,1.7207,83.65,11.007,0.6307
ABT,Manufacturing,2012,1.8405,80.57,11.116,0.7663
ABT,Manufacturing,2013,1.5342,77.12,10.668,0.2607
ABT,Manufacturing,2014,1.8349,73.54,10.628,0.3644
ABT,Manufacturing,2015,1.8217,80.14,10.627,0.4244
ABT,Manufacturing,2016,1.492,79.35,10.872,1.0715
ABT,Manufacturing,2017,1.6712,81.88,11.242,0.9038
ABT,Manufacturing,2018,2.1817,77.59,11.115,0.641
ABT,Manufacturing,2019,2.5364,80.4,11.126,0.6144
ABT,Manufacturing,2020,2.9473,81.8,11.192,0.6067
ABT,Manufacturing,2021,3.5577,80.82,11.228,0.5377
ABT,Manufacturing,2022,2.8042,80.82,11.218,0.4892
ABT,Manufacturing,2023,2.8238,83.28,11.201,0.4112
ACGL,Finance and Insurance,2008,0.3176,32.38,9.59,0.1165
ACGL,Finance and Insurance,2009,0.295,33.11,9.641,0.1428
ACGL,Finance and Insurance,2010,0.3059,29.38,9.666,0.1733
ACGL,Finance and Insurance,2011,0.3348,29.57,9.749,0.1714
ACGL,Finance and Insurance,2012,0.3535,21.76,9.788,0.084
ACGL,Finance and Insurance,2013,0.4538,28.61,9.882,0.1691
ACGL,Finance and Insurance,2014,0.3829,22.55,9.999,0.155
ACGL,Finance and Insurance,2015,0.4261,28.75,10.051,0.2248
ACGL,Finance and Insurance,2016,0.4475,24.54,10.288,0.3993
ACGL,Finance and Insurance,2017,0.452,33.19,10.375,0.3317
ACGL,Finance and Insurance,2018,0.4024,35.05,10.38,0.2552
ACGL,Finance and Insurance,2019,0.5271,40.28,10.542,0.24
ACGL,Finance and Insurance,2020,0.4123,40.28,10.675,0.2575
ACGL,Finance and Insurance,2021,0.4367,58.74,10.717,0.2242
ACGL,Finance and Insurance,2022,0.5444,58.74,10.779,0.2382
ACGL,Finance and Insurance,2023,0.5197,59.21,10.984,0.1645
ACN,"Professional, Scientific, and Technical Services",2004,1.8742,43.25,8.986,0.023
ACN,"Professional, Scientific, and Technical Services",2005,1.5623,32.44,9.1,0.0443
ACN,"Professional, Scientific, and Technical Services",2006,1.8339,37.34,9.15,0.0274
ACN,"Professional, Scientific, and Technical Services",2007,2.2875,37.34,9.282,0.0128
ACN,"Professional, Scientific, and Technical Services",2008,2.0452,69.07,9.425,0.0033
ACN,"Professional, Scientific, and Technical Services",2009,1.6775,72.66,9.414,0.0003
ACN,"Professional, Scientific, and Technical Services",2010,1.7824,78.31,9.46,0.0006
ACN,"Professional, Scientific, and Technical Services",2011,2.1854,74.21,9.663,0.0011
ACN,"Professional, Scientific, and Technical Services",2012,2.3411,71.7,9.721,0.0
ACN,"Professional, Scientific, and Technical Services",2013,2.726,72.91,9.733,0.0052
ACN,"Professional, Scientific, and Technical Services",2014,2.8428,72.55,9.794,0.0047
ACN,"Professional, Scientific, and Technical Services",2015,3.2359,86.85,9.813,0.0045
ACN,"Professional, Scientific, and Technical Services",2016,3.4647,78.81,9.933,0.0036
ACN,"Professional, Scientific, and Technical Services",2017,3.5485,82.26,10.03,0.0028
ACN,"Professional, Scientific, and Technical Services",2018,4.4201,78.32,10.104,0.0024
ACN,"Professional, Scientific, and Technical Services",2019,4.2301,79.14,10.302,0.0016
ACN,"Professional, Scientific, and Technical Services",2020,4.1976,80.38,10.521,0.205
ACN,"Professional, Scientific, and Technical Services",2021,5.0084,83.06,10.673,0.1796
ACN,"Professional, Scientific, and Technical Services",2022,3.9225,83.06,10.763,0.1504
ACN,"Professional, Scientific, and Technical Services",2023,4.0309,82.41,10.844,0.1226
ADBE,Information,2002,6.5135,46.95,6.958,0.0
ADBE,Information,2003,6.3305,56.08,7.349,0.0
ADBE,Information,2004,7.4883,56.08,7.58,0.0
ADBE,Information,2005,6.5309,49.65,7.8,0.0
ADBE,Information,2006,3.9552,46.41,8.693,0.0
ADBE,Information,2007,4.2143,55.93,8.651,0.0
ADBE,Information,2008,2.1531,57.13,8.669,0.0794
ADBE,Information,2009,2.6551,51.01,8.893,0.2045
ADBE,Information,2010,1.9009,51.01,9.005,0.2932
ADBE,Information,2011,1.6674,52.61,9.104,0.2618
ADBE,Information,2012,1.8658,68.6,9.208,0.2263
ADBE,Information,2013,2.8604,74.06,9.248,0.2251
ADBE,Information,2014,3.5388,70.26,9.286,0.2235
ADBE,Information,2015,4.0453,75.07,9.37,0.2724
ADBE,Information,2016,4.1486,75.07,9.45,0.2562
ADBE,Information,2017,6.2626,78.61,9.584,0.2224
ADBE,Information,2018,6.7386,78.57,9.84,0.4406
ADBE,Information,2019,7.3901,65.71,9.941,0.393
ADBE,Information,2020,9.6317,74.55,10.098,0.3549
ADBE,Information,2021,11.8517,74.55,10.212,0.3158
ADBE,Information,2022,6.0368,74.61,10.21,0.3297
ADBE,Information,2023,9.4728,69.48,10.302,0.247
ADI,Manufacturing,2005,2.7837,28.32,8.43,0.0
ADI,Manufacturing,2006,2.7296,43.14,8.291,0.0
ADI,Manufacturing,2007,3.4153,43.14,7.997,0.0
ADI,Manufacturing,2008,2.0123,44.54,8.036,0.0
ADI,Manufacturing,2009,2.3089,78.77,8.133,0.1501
ADI,Manufacturing,2010,2.4155,74.48,8.373,0.1252
ADI,Manufacturing,2011,2.2326,75.83,8.571,0.2335
ADI,Manufacturing,2012,2.244,75.83,8.634,0.1972
ADI,Manufacturing,2013,2.5395,71.47,8.761,0.184
ADI,Manufacturing,2014,2.3784,79.87,8.833,0.1834
ADI,Manufacturing,2015,2.7802,74.57,8.863,0.1722
ADI,Manufacturing,2016,2.6958,69.88,8.983,0.3353
ADI,Manufacturing,2017,1.9633,71.85,9.959,0.7726
ADI,Manufacturing,2018,1.8249,71.85,9.926,0.5763
ADI,Manufacturing,2019,2.0925,76.91,9.971,0.469
ADI,Manufacturing,2020,2.2949,73.31,9.974,0.4562
ADI,Manufacturing,2021,1.8779,72.83,10.865,0.1874
ADI,Manufacturing,2022,1.5819,67.96,10.826,0.1903
ADI,Manufacturing,2023,1.7512,67.96,10.795,0.2073
ADM,Manufacturing,2005,0.9724,25.67,9.831,0.4955
ADM,Manufacturing,2006,1.4926,28.96,9.965,0.4772
ADM,Manufacturing,2007,1.0575,29.94,10.131,0.4697
ADM,Manufacturing,2008,0.8846,45.12,10.52,0.8188
ADM,Manufacturing,2009,0.8039,57.11,10.36,0.6077
ADM,Manufacturing,2010,0.7622,59.87,10.359,0.5167
ADM,Manufacturing,2011,0.7276,52.22,10.65,0.5486
ADM,Manufacturing,2012,0.7165,56.27,10.635,0.5743
ADM,Manufacturing,2013,0.8107,57.71,10.686,0.3408
ADM,Manufacturing,2014,0.8816,54.6,10.693,0.2907
ADM,Manufacturing,2015,0.6898,51.57,10.601,0.3283
ADM,Manufacturing,2016,0.832,55.17,10.591,0.4036
ADM,Manufacturing,2017,0.7461,78.7,10.596,0.4092
ADM,Manufacturing,2018,0.7663,76.68,10.617,0.4419
ADM,Manufacturing,2019,0.8113,80.96,10.692,0.5142
ADM,Manufacturing,2020,0.786,80.96,10.814,0.5526
ADM,Manufacturing,2021,0.8628,82.66,10.936,0.4707
ADM,Manufacturing,2022,1.0218,82.66,10.998,0.4237
ADM,Manufacturing,2023,0.8538,75.4,10.908,0.3976
ADP,"Professional, Scientific, and Technical Services",2003,1.0198,25.34,9.895,0.0159
ADP,"Professional, Scientific, and Technical Services",2004,1.1678,26.67,9.958,0.0142
ADP,"Professional, Scientific, and Technical Services",2005,0.8845,26.67,10.226,0.0131
ADP,"Professional, Scientific, and Technical Services",2006,0.9288,50.59,10.222,0.0124
ADP,"Professional, Scientific, and Technical Services",2007,0.9762,27.16,10.191,0.0085
ADP,"Professional, Scientific, and Technical Services",2008,0.9032,22.19,10.075,0.0108
ADP,"Professional, Scientific, and Technical Services",2009,0.7319,33.28,10.141,0.1457
ADP,"Professional, Scientific, and Technical Services",2010,0.739,38.27,10.198,0.0078
ADP,"Professional, Scientific, and Technical Services",2011,0.7562,37.17,10.441,0.0062
ADP,"Professional, Scientific, and Technical Services",2012,0.8757,37.17,10.336,0.0057
ADP,"Professional, Scientific, and Technical Services",2013,1.038,41.55,10.382,0.0426
ADP,"Professional, Scientific, and Technical Services",2014,1.256,47.44,10.375,0.3279
ADP,"Professional, Scientific, and Technical Services",2015,1.1305,55.55,10.408,0.0024
ADP,"Professional, Scientific, and Technical Services",2016,1.0047,63.48,10.684,0.4485
ADP,"Professional, Scientific, and Technical Services",2017,1.2804,63.04,10.524,0.5055
ADP,"Professional, Scientific, and Technical Services",2018,1.6411,68.68,10.521,0.5795
ADP,"Professional, Scientific, and Technical Services",2019,1.7679,78.11,10.643,0.4198
ADP,"Professional, Scientific, and Technical Services",2020,1.6971,80.5,10.576,0.4273
ADP,"Professional, Scientific, and Technical Services",2021,1.7962,80.5,10.795,0.608
ADP,"Professional, Scientific, and Technical Services",2022,1.4427,75.96,11.052,1.1133
ADSK,Information,2001,2.528,42.56,6.805,0.0
ADSK,Information,2002,1.8981,34.01,6.784,0.0
ADSK,Information,2003,2.8217,33.65,6.925,0.0
ADSK,Information,2004,5.8527,19.26,7.041,0.0
ADSK,Information,2005,6.8485,37.32,7.216,0.0
ADSK,Information,2006,5.621,49.58,7.494,0.0
ADSK,Information,2007,4.2847,49.58,7.7,0.0
ADSK,Information,2008,1.57,66.03,7.792,0.0397
ADSK,Information,2009,2.225,67.99,7.803,0.0
ADSK,Information,2010,3.3127,64.46,7.933,0.0
ADSK,Information,2011,2.5195,68.23,8.08,0.0
ADSK,Information,2012,2.1909,75.21,8.368,0.3649
ADSK,Information,2013,2.6909,79.21,8.433,0.33
ADSK,Information,2014,2.6469,80.68,8.5,0.3367
ADSK,Information,2015,2.1747,80.68,8.615,0.9186
ADSK,Information,2016,4.0453,81.61,8.476,2.032
ADSK,Information,2020,8.658,81.71,8.893,2.1798
ADSK,Information,2021,6.6882,80.68,9.06,3.6038
ADSK,Information,2022,5.1839,81.35,9.152,2.3284
ADSK,Information,2023,5.7447,81.35,9.202,1.4156
AEE,Utilities,2002,0.9087,31.22,9.35,1.0523
AEE,Utilities,2003,0.8602,21.82,9.563,1.091
AEE,Utilities,2004,0.8987,32.8,9.766,1.014
AEE,Utilities,2005,0.8893,26.35,9.807,0.8897
AEE,Utilities,2006,0.8924,19.94,9.882,0.9678
AEE,Utilities,2007,0.9018,34.17,9.939,1.096
AEE,Utilities,2008,0.6695,48.15,10.028,1.1644
AEE,Utilities,2009,0.6222,39.69,10.077,1.04
AEE,Utilities,2010,0.6172,42.52,10.065,1.0009
AEE,Utilities,2011,0.6361,38.85,10.071,0.8845
AEE,Utilities,2012,0.661,46.85,9.991,1.0552
AEE,Utilities,2013,0.7213,45.83,9.954,0.9789
AEE,Utilities,2014,0.8002,38.81,10.029,1.0359
AEE,Utilities,2015,0.7641,45.4,10.071,1.0907
AEE,Utilities,2016,0.8325,45.4,10.115,1.1029
AEE,Utilities,2017,0.8761,45.4,10.164,1.1719
AEE,Utilities,2018,0.9181,45.87,10.212,1.1841
AEE,Utilities,2019,0.9934,43.46,10.273,1.2201
AEE,Utilities,2020,0.9787,39.68,10.374,1.2951
AEE,Utilities,2021,1.0228,41.83,10.484,1.4033
AEE,Utilities,2022,1.0129,41.83,10.543,1.4365
AEE,Utilities,2023,0.8761,43.97,10.617,1.4544
AEP,Utilities,2003,0.7277,43.48,10.512,1.865
AEP,Utilities,2004,0.7562,46.53,10.453,1.482
AEP,Utilities,2005,0.7489,41.49,10.496,1.374
AEP,Utilities,2006,0.8134,51.23,10.545,1.4882
AEP,Utilities,2007,0.8589,56.61,10.606,1.5899
AEP,Utilities,2008,0.7042,75.76,10.718,1.7099
AEP,Utilities,2009,0.7151,73.83,10.786,1.3654
AEP,Utilities,2010,0.7121,70.91,10.829,1.3677
AEP,Utilities,2011,0.739,68.99,10.863,1.27
AEP,Utilities,2012,0.7342,63.2,10.904,1.2592
AEP,Utilities,2013,0.7528,58.73,10.94,1.223
AEP,Utilities,2014,0.8435,58.56,10.996,1.2237
AEP,Utilities,2015,0.7997,62.75,11.03,1.1579
AEP,Utilities,2016,0.8387,62.95,11.058,1.2804
AEP,Utilities,2017,0.9162,62.09,11.078,1.2637
AEP,Utilities,2018,0.9071,67.0,11.139,1.3425
AEP,Utilities,2019,1.0218,62.09,11.237,1.5709
AEP,Utilities,2020,0.942,72.76,11.299,1.6895
AEP,Utilities,2021,0.9356,71.23,11.381,1.6565
AEP,Utilities,2022,0.9566,71.23,11.445,1.7003
AEP,Utilities,2023,0.8952,76.22,11.479,1.7354
AES,Utilities,2005,0.9559,30.02,10.29,10.7641
AES,Utilities,2006,0.984,27.52,10.348,5.4108
AES,Utilities,2007,0.9403,39.31,10.447,5.7067
AES,Utilities,2008,0.6785,39.31,10.458,4.9477
AES,Utilities,2009,0.7285,41.46,10.585,4.2601
AES,Utilities,2010,0.7239,33.84,10.609,3.0485
AES,Utilities,2011,0.6978,32.55,10.722,3.7963
AES,Utilities,2012,0.7013,48.21,10.641,4.6778
AES,Utilities,2013,0.7803,46.26,10.607,4.8612
AES,Utilities,2014,0.784,53.85,10.57,4.8825
AES,Utilities,2015,0.7378,59.22,10.515,6.6075
AES,Utilities,2016,0.7786,64.65,10.495,7.3239
AES,Utilities,2017,0.8191,60.62,10.408,8.1014
AES,Utilities,2018,0.8879,65.42,10.39,6.0162
AES,Utilities,2019,1.0006,69.14,10.424,6.8274
AES,Utilities,2020,1.0354,72.25,10.452,7.6659
AES,Utilities,2021,1.0691,74.03,10.403,9.6493
AES,Utilities,2022,1.1415,74.03,10.555,15.3596
AES,Utilities,2023,0.9189,73.48,10.71,17.137
AFL,Finance and Insurance,2003,0.3896,48.13,10.839,0.212
AFL,Finance and Insurance,2004,0.3623,53.82,10.991,0.1887
AFL,Finance and Insurance,2005,0.4356,39.42,10.94,0.176
AFL,Finance and Insurance,2006,0.4027,57.15,10.999,0.171
AFL,Finance and Insurance,2007,0.4853,50.05,11.094,0.1666
AFL,Finance and Insurance,2008,0.2913,41.66,11.281,0.2592
AFL,Finance and Insurance,2009,0.2886,58.11,11.34,0.3088
AFL,Finance and Insurance,2010,0.2924,54.0,11.523,0.2748
AFL,Finance and Insurance,2011,0.2003,57.35,11.671,0.2432
AFL,Finance and Insurance,2012,0.2227,61.03,11.784,0.2724
AFL,Finance and Insurance,2013,0.2934,59.68,11.706,0.335
AFL,Finance and Insurance,2014,0.2698,55.85,11.693,0.2879
AFL,Finance and Insurance,2015,0.2572,52.97,11.681,0.283
AFL,Finance and Insurance,2016,0.2589,51.54,11.774,0.2617
AFL,Finance and Insurance,2017,0.2883,60.52,11.829,0.215
AFL,Finance and Insurance,2018,0.2862,54.92,11.852,0.2463
AFL,Finance and Insurance,2019,0.2953,59.13,11.937,0.2303
AFL,Finance and Insurance,2020,0.2345,52.96,12.014,0.2361
AFL,Finance and Insurance,2021,0.2923,53.95,11.967,0.2396
AFL,Finance and Insurance,2022,0.3948,53.95,11.783,0.334
AFL,Finance and Insurance,2023,0.4349,49.87,11.75,0.336
AIG,Finance and Insurance,2002,0.4544,17.8,13.238,1.7609
AIG,Finance and Insurance,2003,0.4212,14.64,13.427,1.5833
AIG,Finance and Insurance,2004,0.3899,33.29,13.594,1.7806
AIG,Finance and Insurance,2005,0.3696,51.25,13.657,1.6018
AIG,Finance and Insurance,2006,0.3811,66.39,13.795,1.8378
AIG,Finance and Insurance,2007,0.3368,60.63,13.874,2.1889
AIG,Finance and Insurance,2008,0.2417,46.48,13.665,3.8672
AIG,Finance and Insurance,2009,0.1958,46.61,13.65,6.3314
AIG,Finance and Insurance,2010,0.2172,46.61,13.435,2.9833
AIG,Finance and Insurance,2011,0.2159,31.86,13.228,0.7238
AIG,Finance and Insurance,2012,0.1834,33.48,13.215,0.4949
AIG,Finance and Insurance,2013,0.2151,46.21,13.202,0.415
AIG,Finance and Insurance,2014,0.21,45.88,13.153,0.292
AIG,Finance and Insurance,2015,0.2079,63.63,13.116,0.3274
AIG,Finance and Insurance,2016,0.1934,67.69,13.119,0.4108
AIG,Finance and Insurance,2017,0.1722,69.26,13.119,0.4948
AIG,Finance and Insurance,2018,0.1465,63.06,13.106,0.6732
AIG,Finance and Insurance,2019,0.1604,63.77,13.171,0.6072
AIG,Finance and Insurance,2020,0.1275,59.11,13.282,0.6403
AIG,Finance and Insurance,2021,0.1429,67.55,13.298,0.5904
AIG,Finance and Insurance,2022,0.1476,67.55,13.174,0.7928
AIG,Finance and Insurance,2023,0.1346,72.3,13.198,0.5774
AIZ,Finance and Insurance,2004,0.2149,20.33,10.107,0.2739
AIZ,Finance and Insurance,2005,0.2632,13.86,10.141,0.2692
AIZ,Finance and Insurance,2006,0.3087,24.99,10.133,0.2593
AIZ,Finance and Insurance,2007,0.3317,40.92,10.194,0.2429
AIZ,Finance and Insurance,2008,0.1837,38.78,10.107,0.265
AIZ,Finance and Insurance,2009,0.171,46.49,10.16,0.202
AIZ,Finance and Insurance,2010,0.1859,35.33,10.181,0.2044
AIZ,Finance and Insurance,2011,0.1699,42.22,10.208,0.1934
AIZ,Finance and Insurance,2012,0.1279,49.02,10.273,0.1875
AIZ,Finance and Insurance,2013,0.2156,49.92,10.299,0.3389
AIZ,Finance and Insurance,2014,0.1874,49.51,10.36,0.226
AIZ,Finance and Insurance,2015,0.2155,53.25,10.31,0.2589
AIZ,Finance and Insurance,2016,0.2108,54.16,10.299,0.2604
AIZ,Finance and Insurance,2017,0.2163,64.59,10.369,0.3751
AIZ,Finance and Insurance,2018,0.2156,61.25,10.624,0.6503
AIZ,Finance and Insurance,2019,0.2606,64.11,10.699,0.6525
AIZ,Finance and Insurance,2020,0.229,64.11,10.707,0.3918
AIZ,Finance and Insurance,2021,0.323,68.82,10.432,0.4122
AIZ,Finance and Insurance,2022,0.265,68.82,10.408,0.5131
AIZ,Finance and Insurance,2023,0.3232,65.89,10.423,0.4399
AJG,Finance and Insurance,2008,0.9264,45.74,8.093,0.7204
AJG,Finance and Insurance,2009,0.8791,42.28,8.087,0.616
AJG,Finance and Insurance,2010,1.0296,47.54,8.188,0.497
AJG,Finance and Insurance,2011,1.0083,45.95,8.408,0.5508
AJG,Finance and Insurance,2012,0.9727,50.72,8.585,0.5149
AJG,Finance and Insurance,2013,1.1261,50.03,8.834,0.6979
AJG,Finance and Insurance,2014,1.0132,51.5,9.211,0.741
AJG,Finance and Insurance,2015,0.8889,51.95,9.298,0.6753
AJG,Finance and Insurance,2016,1.0544,52.53,9.349,0.7919
AJG,Finance and Insurance,2017,1.1312,57.95,9.465,0.7632
AJG,Finance and Insurance,2018,1.0511,53.44,9.701,0.8025
AJG,Finance and Insurance,2019,1.1688,56.42,9.885,0.9764
AJG,Finance and Insurance,2020,1.2946,52.84,10.014,0.8009
AJG,Finance and Insurance,2021,1.2609,51.93,10.415,0.7846
AJG,Finance and Insurance,2022,1.1939,51.93,10.569,0.7106
AJG,Finance and Insurance,2023,1.1068,49.92,10.852,0.7797
AKAM,"Professional, Scientific, and Technical Services",2005,3.643,35.78,6.793,0.3204
AKAM,"Professional, Scientific, and Technical Services",2006,6.9836,38.83,7.129,0.2095
AKAM,"Professional, Scientific, and Technical Services",2007,3.5934,20.92,7.412,0.1471
AKAM,"Professional, Scientific, and Technical Services",2008,1.465,21.85,7.54,0.1274
AKAM,"Professional, Scientific, and Technical Services",2009,2.1744,26.19,7.644,0.1149
AKAM,"Professional, Scientific, and Technical Services",2010,3.7318,31.62,7.763,0.0
AKAM,"Professional, Scientific, and Technical Services",2011,2.4429,26.15,7.76,0.0
AKAM,"Professional, Scientific, and Technical Services",2012,2.7967,42.3,7.864,0.0
AKAM,"Professional, Scientific, and Technical Services",2013,2.8487,42.63,7.992,0.0
AKAM,"Professional, Scientific, and Technical Services",2014,2.9565,48.24,8.294,0.2054
AKAM,"Professional, Scientific, and Technical Services",2015,2.3761,58.06,8.34,0.2
AKAM,"Professional, Scientific, and Technical Services",2016,2.7881,65.36,8.383,0.1985
AKAM,"Professional, Scientific, and Technical Services",2017,2.5447,61.46,8.434,0.2002
AKAM,"Professional, Scientific, and Technical Services",2018,2.1075,51.96,8.606,0.4889
AKAM,"Professional, Scientific, and Technical Services",2019,2.3784,56.87,8.855,0.7303
AKAM,"Professional, Scientific, and Technical Services",2020,2.5579,63.05,8.957,0.6532
AKAM,"Professional, Scientific, and Technical Services",2021,2.6596,74.21,9.004,0.6311
AKAM,"Professional, Scientific, and Technical Services",2022,1.9711,74.21,9.024,0.7281
AKAM,"Professional, Scientific, and Technical Services",2023,2.2661,70.51,9.2,0.9867
ALB,Manufacturing,2002,1.1456,31.27,7.084,0.3168
ALB,Manufacturing,2003,1.0538,23.7,7.235,0.3593
ALB,Manufacturing,2004,1.0507,27.4,7.801,1.3279
ALB,Manufacturing,2005,1.031,32.63,7.843,0.8959
ALB,Manufacturing,2006,1.6354,30.64,7.836,0.7126
ALB,Manufacturing,2007,1.6364,30.53,7.948,0.5663
ALB,Manufacturing,2008,1.0308,30.53,7.963,0.8747
ALB,Manufacturing,2009,1.4941,48.55,7.927,0.6741
ALB,Manufacturing,2010,1.9458,62.13,8.029,0.608
ALB,Manufacturing,2011,1.6667,59.02,8.072,0.4799
ALB,Manufacturing,2012,1.8101,71.24,8.142,0.3814
ALB,Manufacturing,2013,1.7165,67.33,8.184,0.663
ALB,Manufacturing,2014,1.4601,71.81,8.561,2.1583
ALB,Manufacturing,2015,1.0543,68.0,9.171,1.1836
ALB,Manufacturing,2016,1.4772,58.38,9.007,0.6243
ALB,Manufacturing,2017,2.0611,69.24,8.956,0.5
ALB,Manufacturing,2018,1.2985,69.9,8.933,0.4756
ALB,Manufacturing,2019,1.1088,66.05,9.196,0.8108
ALB,Manufacturing,2020,1.8632,71.92,9.254,0.8695
ALB,Manufacturing,2021,2.7253,67.53,9.303,0.4538
ALB,Manufacturing,2022,1.8608,67.53,9.646,0.4199
ALB,Manufacturing,2023,1.164,71.83,9.813,0.458
ALGN,Manufacturing,2016,5.4775,20.23,7.241,0.0
ALGN,Manufacturing,2017,10.0031,21.85,7.483,0.0
ALGN,Manufacturing,2018,8.1404,30.2,7.627,0.0
ALGN,Manufacturing,2019,8.7756,48.55,7.824,0.044
ALGN,Manufacturing,2020,8.7433,49.55,8.483,0.0266
ALGN,Manufacturing,2021,8.7262,50.56,8.69,0.0346
ALGN,Manufacturing,2022,2.761,50.56,8.691,0.0352
ALGN,Manufacturing,2023,3.402,47.9,8.713,0.0349
ALL,Finance and Insurance,2002,0.2589,39.48,11.674,0.2546
ALL,Finance and Insurance,2003,0.2636,46.46,11.807,0.2468
ALL,Finance and Insurance,2004,0.2716,51.01,11.917,0.2444
ALL,Finance and Insurance,2005,0.2578,55.23,11.958,0.2626
ALL,Finance and Insurance,2006,0.287,47.77,11.968,0.2163
ALL,Finance and Insurance,2007,0.2244,54.13,11.96,0.2607
ALL,Finance and Insurance,2008,0.1726,54.13,11.812,0.4514
ALL,Finance and Insurance,2009,0.1664,79.26,11.795,0.3563
ALL,Finance and Insurance,2010,0.1752,76.08,11.782,0.3125
ALL,Finance and Insurance,2011,0.1566,76.58,11.741,0.3179
ALL,Finance and Insurance,2012,0.1997,75.13,11.752,0.297
ALL,Finance and Insurance,2013,0.2488,81.29,11.724,0.2905
ALL,Finance and Insurance,2014,0.3185,82.38,11.595,0.2334
ALL,Finance and Insurance,2015,0.275,77.04,11.558,0.2561
ALL,Finance and Insurance,2016,0.3082,77.73,11.596,0.3085
ALL,Finance and Insurance,2017,0.3868,82.33,11.63,0.3052
ALL,Finance and Insurance,2018,0.3018,69.78,11.628,0.3328
ALL,Finance and Insurance,2019,0.359,74.94,11.695,0.3039
ALL,Finance and Insurance,2020,0.3316,70.74,11.744,0.2951
ALL,Finance and Insurance,2021,0.4169,68.26,11.507,0.3637
ALL,Finance and Insurance,2022,0.4495,68.26,11.492,0.5358
