variable,N,Mean,Median,SD,Min,Max
q,7895,1.982,1.4692,1.8644,0.043,23.2692
ESGscore,7895,53.3048,55.2158,20.1505,2.4571,95.1624
Firm_Size,7895,9.8448,9.7916,1.4718,5.5826,15.1702
Leverage,7895,1.413,0.7204,5.3783,0.0,264.7222
