instrument,name,Year,q,ESGscore,Firm_Size,Leverage
AAPL,Apple Inc,2005,3.8754539511730584,51.7468919045658,9.35452729228868,0.0
AAPL,Apple Inc,2006,3.8266867619877947,44.975353646514,9.752955318231582,0.0
AAPL,Apple Inc,2007,5.281742676845386,37.2803730571511,10.140415658820954,0.0
AAPL,Apple Inc,2008,2.5514791559688668,52.8189256206799,10.585877076443113,0.0
AAPL,Apple Inc,2009,3.5110638112881833,61.9335515995347,10.768506042432708,0.0
AAPL,Apple Inc,2010,3.4569847904446487,59.8853127051985,11.227680420551865,0.0
AAPL,Apple Inc,2011,3.045018996485379,52.6378122002175,11.664538642345256,0.0
AAPL,Apple Inc,2012,3.558651131633951,56.5544715637008,12.078602844284246,0.0
AAPL,Apple Inc,2013,2.1529458828502412,60.2998167054345,12.240474072247506,0.1372734704449247
AAPL,Apple Inc,2014,2.701489916493774,56.1742594117773,12.353798444225676,0.31641370901951643
AAPL,Apple Inc,2015,2.3402671308425047,54.2146680994042,12.579286563504489,0.5400862971806795
AAPL,Apple Inc,2016,2.1458365185304924,61.5580660504009,12.681331193473806,0.6786173771335449
AAPL,Apple Inc,2017,2.4132274095369537,68.1081833318057,12.835531610007385,0.8629808947607929
AAPL,Apple Inc,2018,3.247996553804088,70.7400512915836,12.809636963846287,1.0684666859548098
AAPL,Apple Inc,2019,3.2589259205473304,68.99284696299,12.732326637573383,1.1940478295464592
AAPL,Apple Inc,2020,6.447774919200464,75.6115335054844,12.688153056001358,1.871439722064923
AAPL,Apple Inc,2021,7.011105973755136,82.2482077173983,12.768547200437467,2.163924552226977
AAPL,Apple Inc,2022,6.621766764468256,77.7591679446165,12.773529043959043,2.6144616356173036
AAPL,Apple Inc,2023,7.902411471369862,77.7591679446165,12.77304133451078,1.9941750072410132
AMZN,Amazon.com Inc,2005,5.719264069264069,30.5199453013354,8.215006432761575,6.195121951219512
AMZN,Amazon.com Inc,2006,4.046399266559707,19.3849123084841,8.38091517312361,3.0580046403712298
AMZN,Amazon.com Inc,2007,6.156552043176561,30.0182369380891,8.777247096750544,1.1587301587301588
AMZN,Amazon.com Inc,2008,2.7197305749338465,21.1012571243785,9.025696119812583,0.24850299401197604
AMZN,Amazon.com Inc,2009,4.352412944327807,27.6006795681154,9.53336545669996,0.07475746623549553
AMZN,Amazon.com Inc,2010,4.364792254083098,29.0078798538635,9.841452561616595,0.1260198135198135
